Freq[Hz]  Imp[Ohm]  Phase[Deg]
144.617      2.078   -32.524
146.721      2.065   -32.081
148.855      2.054   -31.639
151.020      2.042   -31.198
153.217      2.031   -30.759
155.445      2.020   -30.321
157.706      2.010   -29.885
160.000      2.000   -29.451
162.327      1.990   -29.018
164.688      1.980   -28.587
167.084      1.971   -28.158
169.514      1.962   -27.730
171.980      1.953   -27.305
174.481      1.944   -26.881
177.019      1.936   -26.459
179.594      1.928   -26.039
182.206      1.920   -25.621
184.856      1.912   -25.205
187.545      1.905   -24.791
190.273      1.898   -24.379
193.041      1.891   -23.968
195.849      1.884   -23.560
198.697      1.877   -23.154
201.587      1.871   -22.750
204.520      1.865   -22.348
207.494      1.858   -21.948
210.512      1.853   -21.551
213.574      1.847   -21.155
216.681      1.841   -20.761
219.833      1.836   -20.369
223.030      1.831   -19.980
226.274      1.826   -19.592
229.565      1.821   -19.207
232.905      1.816   -18.823
236.292      1.811   -18.442
239.729      1.807   -18.063
243.216      1.802   -17.685
246.754      1.798   -17.310
250.343      1.794   -16.936
253.984      1.790   -16.565
257.678      1.786   -16.195
261.426      1.782   -15.828
265.229      1.779   -15.462
269.087      1.775   -15.098
273.001      1.772   -14.736
276.972      1.768   -14.376
281.000      1.765   -14.018
285.088      1.762   -13.661
289.234      1.759   -13.306
293.441      1.756   -12.953
297.709      1.753   -12.601
302.040      1.751   -12.251
306.433      1.748   -11.903
310.890      1.746   -11.557
315.412      1.743   -11.211
320.000      1.741   -10.868
324.655      1.739   -10.526
329.377      1.737   -10.185
334.168      1.734    -9.846
339.028      1.732    -9.508
343.959      1.730    -9.171
348.962      1.729    -8.836
354.038      1.727    -8.502
359.188      1.725    -8.169
364.412      1.724    -7.837
369.713      1.722    -7.507
375.090      1.721    -7.177
380.546      1.719    -6.849
386.081      1.718    -6.521
391.697      1.716    -6.195
397.394      1.715    -5.869
403.175      1.714    -5.544
409.039      1.713    -5.220
414.989      1.712    -4.897
421.025      1.711    -4.575
427.149      1.710    -4.253
433.362      1.709    -3.932
439.665      1.708    -3.612
446.060      1.708    -3.292
452.548      1.707    -2.972
459.131      1.706    -2.653
465.809      1.706    -2.335
472.584      1.705    -2.016
479.458      1.705    -1.699
486.432      1.705    -1.381
493.507      1.704    -1.063
500.686      1.704    -0.746
507.968      1.704    -0.429
515.357      1.704    -0.112
522.853      1.704     0.205
530.458      1.704     0.522
538.174      1.704     0.839
546.002      1.704     1.156
553.943      1.704     1.474
562.001      1.704     1.791
570.175      1.704     2.109
578.469      1.704     2.427
586.883      1.705     2.746
595.419      1.705     3.065
604.080      1.706     3.384
612.866      1.706     3.704
621.780      1.707     4.024
630.824      1.707     4.345
640.000      1.708     4.667
649.309      1.709     4.989
658.753      1.710     5.312
668.335      1.710     5.635
678.056      1.711     5.960
687.919      1.712     6.285
697.925      1.713     6.611
708.077      1.715     6.939
718.376      1.716     7.267
728.825      1.717     7.596
739.426      1.718     7.926
750.181      1.720     8.257
761.093      1.721     8.590
772.163      1.722     8.923
783.394      1.724     9.258
794.789      1.726     9.594
