Freq[Hz]     dBSPL  Phase[Deg]
177.019      2.867    23.054
179.594      2.916    23.189
182.206      2.966    23.321
184.856      3.016    23.450
187.545      3.067    23.575
190.273      3.118    23.696
193.041      3.170    23.813
195.849      3.223    23.926
198.697      3.276    24.035
201.587      3.330    24.140
204.520      3.385    24.240
207.494      3.440    24.336
210.512      3.495    24.426
213.574      3.552    24.513
216.681      3.608    24.594
219.833      3.666    24.669
223.030      3.723    24.740
226.274      3.782    24.805
229.565      3.841    24.865
232.905      3.900    24.919
236.292      3.960    24.968
239.729      4.020    25.010
243.216      4.080    25.046
246.754      4.141    25.077
250.343      4.203    25.101
253.984      4.265    25.118
257.678      4.327    25.129
261.426      4.389    25.133
265.229      4.452    25.131
269.087      4.515    25.122
273.001      4.578    25.106
276.972      4.641    25.082
281.000      4.705    25.052
285.088      4.769    25.014
289.234      4.833    24.969
293.441      4.897    24.916
297.709      4.962    24.855
302.040      5.026    24.787
306.433      5.090    24.712
310.890      5.155    24.628
315.412      5.219    24.536
320.000      5.283    24.437
324.655      5.348    24.329
329.377      5.412    24.213
334.168      5.476    24.089
339.028      5.540    23.956
343.959      5.603    23.816
348.962      5.667    23.666
354.038      5.730    23.509
359.188      5.793    23.343
364.412      5.855    23.168
369.713      5.917    22.985
375.090      5.979    22.793
380.546      6.040    22.593
386.081      6.100    22.384
391.697      6.161    22.166
397.394      6.220    21.940
403.175      6.279    21.705
409.039      6.337    21.462
414.989      6.394    21.210
421.025      6.451    20.950
427.149      6.507    20.681
433.362      6.562    20.404
439.665      6.616    20.118
446.060      6.669    19.825
452.548      6.721    19.523
459.131      6.772    19.213
465.809      6.822    18.894
472.584      6.871    18.569
479.458      6.918    18.235
486.432      6.965    17.894
493.507      7.010    17.545
500.686      7.053    17.189
507.968      7.095    16.827
515.357      7.136    16.457
522.853      7.175    16.081
530.458      7.213    15.698
538.174      7.249    15.310
546.002      7.283    14.916
553.943      7.316    14.516
562.001      7.346    14.111
570.175      7.375    13.702
578.469      7.402    13.288
586.883      7.427    12.871
595.419      7.450    12.450
604.080      7.471    12.026
612.866      7.489    11.599
621.780      7.506    11.171
630.824      7.520    10.741
640.000      7.532    10.311
649.309      7.542     9.881
658.753      7.550     9.451
668.335      7.555     9.023
678.056      7.558     8.596
687.919      7.558     8.173
697.925      7.556     7.754
708.077      7.551     7.339
718.376      7.544     6.930
728.825      7.535     6.528
739.426      7.523     6.133
750.181      7.509     5.747
761.093      7.492     5.371
772.163      7.473     5.006
783.394      7.452     4.653
794.789      7.429     4.313
806.349      7.404     3.987
818.078      7.377     3.677
829.977      7.348     3.384
842.050      7.317     3.108
854.298      7.285     2.852
866.724      7.252     2.615
879.330      7.218     2.400
892.120      7.183     2.206
905.097      7.148     2.035
918.262      7.112     1.887
931.618      7.077     1.763
945.169      7.042     1.663
958.917      7.008     1.587
972.864      6.976     1.534
987.015      6.945     1.505
1001.37      6.916     1.498
1015.94      6.890     1.511
1030.71      6.867     1.544
1045.71      6.847     1.594
1060.92      6.831     1.658
1076.35      6.819     1.735
1092.00      6.811     1.820
1107.89      6.808     1.911
1124.00      6.810     2.002
1140.35      6.816     2.091
1156.94      6.828     2.173
1173.77      6.844     2.243
1190.84      6.865     2.297
1208.16      6.890     2.330
1225.73      6.919     2.338
1243.56      6.952     2.318
1261.65      6.989     2.264
1280.00      7.028     2.174
1298.62      7.068     2.044
1317.51      7.110     1.872
1336.67      7.153     1.656
1356.11      7.194     1.395
1375.84      7.235     1.087
1395.85      7.273     0.733
1416.15      7.308     0.334
1436.75      7.340    -0.111
1457.65      7.366    -0.597
1478.85      7.386    -1.124
1500.36      7.400    -1.687
1522.19      7.406    -2.283
1544.33      7.403    -2.908
1566.79      7.392    -3.554
1589.58      7.370    -4.218
1612.70      7.338    -4.891
1636.16      7.295    -5.566
1659.95      7.241    -6.234
1684.10      7.174    -6.888
1708.60      7.096    -7.516
1733.45      7.005    -8.108
1758.66      6.903    -8.652
1784.24      6.789    -9.137
1810.19      6.664    -9.551
1836.52      6.529    -9.879
1863.24      6.385   -10.110
1890.34      6.235   -10.231
1917.83      6.080   -10.231
1945.73      5.923   -10.099
1974.03      5.768    -9.831
2002.74      5.617    -9.421
2031.87      5.475    -8.871
2061.43      5.345    -8.188
2091.41      5.232    -7.385
2121.83      5.139    -6.483
2152.69      5.069    -5.506
2184.01      5.025    -4.487
2215.77      5.007    -3.459
2248.00      5.015    -2.458
2280.70      5.047    -1.517
2313.87      5.100    -0.668
2347.53      5.170     0.068
2381.68      5.254     0.671
2416.32      5.346     1.134
2451.46      5.441     1.455
2487.12      5.535     1.638
2523.30      5.624     1.696
2560.00      5.704     1.643
2597.24      5.773     1.500
2635.01      5.829     1.289
2673.34      5.869     1.035
2712.23      5.895     0.761
2751.68      5.906     0.493
2791.70      5.904     0.253
2832.31      5.890     0.063
2873.50      5.867    -0.062
2915.30      5.839    -0.110
2957.70      5.810    -0.075
3000.72      5.783     0.043
3044.37      5.761     0.234
3088.65      5.749     0.483
3133.58      5.748     0.768
3179.16      5.761     1.064
3225.40      5.786     1.343
3272.31      5.823     1.579
3319.91      5.868     1.752
3368.20      5.920     1.845
3417.19      5.973     1.852
3466.89      6.024     1.773
3517.32      6.070     1.617
3568.48      6.107     1.400
3620.39      6.133     1.141
3673.05      6.148     0.864
3726.47      6.151     0.592
3780.67      6.143     0.346
3835.67      6.128     0.145
3891.46      6.107    -0.002
3948.06      6.084    -0.089
4005.49      6.062    -0.121
4063.75      6.043    -0.108
4122.86      6.030    -0.066
4182.82      6.022    -0.011
4243.66      6.023    -0.038
4305.39      6.022    -0.072
4368.01      6.021    -0.083
4431.55      6.020    -0.076
4496.01      6.023    -0.059
4561.40      6.028    -0.047
4627.75      6.037    -0.054
4695.06      6.046    -0.092
4763.35      6.054    -0.168
4832.64      6.057    -0.276
4902.93      6.054    -0.405
4974.24      6.041    -0.532
5046.60      6.021    -0.633
5120.00      5.993    -0.682
5194.47      5.962    -0.659
5270.03      5.933    -0.559
5346.68      5.910    -0.389
5424.45      5.897    -0.170
5503.35      5.898     0.063
5583.40      5.911     0.273
5664.61      5.934     0.429
5747.01      5.962     0.512
5830.60      5.989     0.519
5915.41      6.011     0.465
6001.45      6.026     0.376
6088.74      6.032     0.282
6177.30      6.032     0.207
6267.15      6.028     0.167
6358.31      6.024     0.162
6450.80      6.024     0.179
6544.62      6.028     0.198
6639.82      6.034     0.200
6736.40      6.042     0.174
6834.38      6.048     0.123
6933.79      6.050     0.059
