Freq[Hz]     dBSPL  Phase[Deg]
132.615     59.681   179.594
134.543     59.913   179.239
136.500     60.145   178.913
138.486     60.379   178.611
140.500     60.614   178.329
142.544     60.852   178.064
144.617     61.093   177.809
146.721     61.337   177.559
148.855     61.584   177.309
151.020     61.832   177.055
153.217     62.082   176.793
155.445     62.332   176.520
157.706     62.581   176.238
160.000     62.829   175.948
162.327     63.072   175.658
164.688     63.309   175.378
167.084     63.540   175.119
169.514     63.766   174.888
171.980     63.993   174.693
174.481     64.222   174.533
177.019     64.454   174.411
179.594     64.687   174.328
182.206     64.921   174.285
184.856     65.158   174.279
187.545     65.405   174.303
190.273     65.667   174.335
193.041     65.947   174.352
195.849     66.241   174.329
198.697     66.542   174.251
201.587     66.842   174.113
204.520     67.138   173.921
207.494     67.427   173.690
210.512     67.711   173.433
213.574     67.992   173.161
216.681     68.270   172.884
219.833     68.546   172.609
223.030     68.819   172.340
226.274     69.090   172.085
229.565     69.359   171.845
232.905     69.629   171.624
236.292     69.903   171.419
239.729     70.181   171.227
243.216     70.465   171.041
246.754     70.753   170.856
250.343     71.046   170.669
253.984     71.343   170.476
257.678     71.644   170.274
261.426     71.952   170.058
265.229     72.266   169.822
269.087     72.588   169.556
273.001     72.918   169.248
276.972     73.256   168.888
281.000     73.599   168.464
285.088     73.945   167.968
289.234     74.292   167.397
293.441     74.636   166.754
297.709     74.972   166.051
302.040     75.298   165.299
306.433     75.615   164.516
310.890     75.923   163.715
315.412     76.227   162.903
320.000     76.529   162.085
324.655     76.832   161.259
329.377     77.134   160.421
334.168     77.438   159.564
339.028     77.741   158.684
343.959     78.047   157.770
348.962     78.354   156.813
354.038     78.664   155.801
359.188     78.976   154.722
364.412     79.286   153.570
369.713     79.589   152.339
375.090     79.882   151.034
380.546     80.161   149.662
386.081     80.422   148.244
391.697     80.664   146.802
397.394     80.882   145.367
403.175     81.075   143.969
409.039     81.248   142.632
414.989     81.409   141.375
421.025     81.568   140.201
427.149     81.731   139.105
433.362     81.899   138.071
439.665     82.072   137.079
446.060     82.249   136.111
452.548     82.430   135.152
459.131     82.613   134.194
465.809     82.795   133.234
472.584     82.971   132.280
479.458     83.140   131.340
486.432     83.301   130.429
493.507     83.456   129.560
500.686     83.610   128.739
507.968     83.768   127.968
515.357     83.933   127.238
522.853     84.107   126.537
530.458     84.292   125.844
538.174     84.486   125.139
546.002     84.693   124.399
553.943     84.908   123.604
562.001     85.126   122.743
570.175     85.342   121.815
578.469     85.546   120.832
586.883     85.735   119.815
595.419     85.905   118.796
604.080     86.060   117.805
612.866     86.201   116.875
621.780     86.333   116.034
630.824     86.461   115.300
640.000     86.593   114.681
649.309     86.739   114.167
658.753     86.909   113.729
668.335     87.113   113.315
678.056     87.358   112.849
687.919     87.645   112.254
697.925     87.966   111.458
708.077     88.304   110.420
718.376     88.635   109.134
728.825     88.937   107.631
739.426     89.196   105.960
750.181     89.412   104.180
761.093     89.594   102.342
772.163     89.751   100.485
783.394     89.890    98.634
794.789     90.012    96.808
806.349     90.110    95.022
818.078     90.183    93.295
829.977     90.227    91.652
842.050     90.248    90.121
854.298     90.251    88.729
866.724     90.245    87.497
879.330     90.235    86.436
892.120     90.227    85.549
905.097     90.230    84.821
