Freq[Hz]     dBSPL  Phase[Deg]
153.217     90.545    35.524
155.445     90.570    35.100
157.706     90.595    34.680
160.000     90.619    34.262
162.327     90.643    33.848
164.688     90.666    33.438
167.084     90.689    33.030
169.514     90.712    32.627
171.980     90.734    32.226
174.481     90.756    31.829
177.019     90.777    31.436
179.594     90.798    31.046
182.206     90.819    30.660
184.856     90.839    30.277
187.545     90.859    29.898
190.273     90.878    29.522
193.041     90.897    29.150
195.849     90.915    28.781
198.697     90.933    28.416
201.587     90.951    28.054
204.520     90.969    27.696
207.494     90.986    27.341
210.512     91.002    26.990
213.574     91.019    26.643
216.681     91.034    26.299
219.833     91.050    25.959
223.030     91.065    25.622
226.274     91.080    25.289
229.565     91.095    24.959
232.905     91.109    24.633
236.292     91.123    24.310
239.729     91.136    23.991
243.216     91.150    23.675
246.754     91.163    23.362
250.343     91.175    23.054
253.984     91.188    22.748
257.678     91.200    22.446
261.426     91.211    22.148
265.229     91.223    21.852
269.087     91.234    21.561
273.001     91.245    21.272
276.972     91.256    20.987
281.000     91.266    20.705
285.088     91.276    20.427
289.234     91.286    20.152
293.441     91.296    19.880
297.709     91.305    19.611
302.040     91.314    19.346
306.433     91.323    19.083
310.890     91.332    18.824
315.412     91.341    18.568
320.000     91.349    18.315
324.655     91.357    18.066
329.377     91.365    17.819
334.168     91.373    17.575
339.028     91.380    17.335
343.959     91.387    17.097
348.962     91.394    16.862
354.038     91.401    16.631
359.188     91.408    16.402
364.412     91.415    16.176
369.713     91.421    15.953
375.090     91.427    15.733
380.546     91.433    15.515
386.081     91.439    15.301
391.697     91.445    15.089
397.394     91.451    14.880
403.175     91.456    14.674
409.039     91.461    14.470
414.989     91.466    14.269
421.025     91.471    14.070
427.149     91.476    13.875
433.362     91.481    13.681
439.665     91.486    13.491
446.060     91.490    13.302
452.548     91.495    13.117
459.131     91.499    12.933
465.809     91.503    12.752
472.584     91.507    12.574
479.458     91.511    12.398
486.432     91.515    12.224
493.507     91.519    12.053
500.686     91.522    11.884
507.968     91.526    11.717
515.357     91.529    11.552
522.853     91.533    11.390
530.458     91.536    11.230
538.174     91.539    11.072
546.002     91.542    10.916
553.943     91.545    10.762
562.001     91.548    10.611
570.175     91.551    10.461
578.469     91.553    10.314
586.883     91.556    10.168
595.419     91.559    10.025
604.080     91.561     9.883
612.866     91.564     9.743
621.780     91.566     9.606
630.824     91.568     9.470
640.000     91.571     9.336
649.309     91.573     9.204
658.753     91.575     9.073
668.335     91.577     8.945
678.056     91.579     8.818
687.919     91.581     8.693
697.925     91.583     8.570
708.077     91.585     8.449
718.376     91.587     8.329
728.825     91.588     8.211
739.426     91.590     8.094
750.181     91.592     7.979
761.093     91.593     7.866
772.163     91.595     7.754
783.394     91.596     7.644
794.789     91.598     7.535
806.349     91.599     7.428
818.078     91.601     7.323
829.977     91.602     7.218
842.050     91.603     7.116
854.298     91.605     7.014
866.724     91.606     6.915
879.330     91.607     6.816
892.120     91.608     6.719
905.097     91.609     6.623
918.262     91.611     6.529
931.618     91.612     6.436
945.169     91.613     6.344
958.917     91.614     6.254
972.864     91.615     6.165
987.015     91.616     6.077
1001.37     91.617     5.990
1015.94     91.618     5.905
1030.71     91.618     5.821
1045.71     91.619     5.738
1060.92     91.620     5.656
1076.35     91.621     5.575
1092.00     91.622     5.496
1107.89     91.622     5.417
1124.00     91.623     5.340
1140.35     91.624     5.264
1156.94     91.625     5.188
1173.77     91.625     5.114
1190.84     91.626     5.041
1208.16     91.627     4.969
1225.73     91.627     4.898
1243.56     91.628     4.828
1261.65     91.629     4.759
1280.00     91.629     4.691
1298.62     91.630     4.624
1317.51     91.630     4.558
1336.67     91.631     4.493
1356.11     91.631     4.429
1375.84     91.632     4.366
1395.85     91.632     4.303
1416.15     91.633     4.242
1436.75     91.633     4.181
1457.65     91.634     4.121
1478.85     91.634     4.062
1500.36     91.634     4.004
1522.19     91.635     3.947
1544.33     91.635     3.890
1566.79     91.636     3.835
1589.58     91.636     3.780
1612.70     91.636     3.726
1636.16     91.637     3.673
1659.95     91.637     3.620
1684.10     91.637     3.568
1708.60     91.638     3.517
1733.45     91.638     3.467
1758.66     91.638     3.417
1784.24     91.639     3.368
1810.19     91.639     3.320
1836.52     91.639     3.273
1863.24     91.640     3.226
1890.34     91.640     3.180
1917.83     91.640     3.134
1945.73     91.640     3.089
1974.03     91.641     3.045
2002.74     91.641     3.001
2031.87     91.641     2.958
2061.43     91.641     2.916
2091.41     91.641     2.874
2121.83     91.642     2.833
2152.69     91.642     2.793
2184.01     91.642     2.753
2215.77     91.642     2.713
2248.00     91.642     2.674
2280.70     91.643     2.636
2313.87     91.643     2.598
2347.53     91.643     2.561
2381.68     91.643     2.524
2416.32     91.643     2.488
2451.46     91.643     2.453
2487.12     91.644     2.417
2523.30     91.644     2.383
2560.00     91.644     2.349
2597.24     91.644     2.315
2635.01     91.644     2.282
2673.34     91.644     2.249
2712.23     91.644     2.217
2751.68     91.645     2.185
2791.70     91.645     2.154
2832.31     91.645     2.123
2873.50     91.645     2.093
2915.30     91.645     2.063
2957.70     91.645     2.033
3000.72     91.645     2.004
3044.37     91.645     1.975
3088.65     91.645     1.947
3133.58     91.646     1.919
3179.16     91.646     1.892
3225.40     91.646     1.864
3272.31     91.646     1.838
3319.91     91.646     1.811
3368.20     91.646     1.785
3417.19     91.646     1.760
3466.89     91.646     1.735
3517.32     91.646     1.710
3568.48     91.646     1.685
3620.39     91.646     1.661
3673.05     91.646     1.637
3726.47     91.647     1.614
3780.67     91.647     1.591
3835.67     91.647     1.568
3891.46     91.647     1.545
3948.06     91.647     1.523
4005.49     91.647     1.501
4063.75     91.647     1.480
4122.86     91.647     1.459
4182.82     91.647     1.438
4243.66     91.647     1.417
4305.39     91.647     1.397
4368.01     91.647     1.377
4431.55     91.647     1.357
4496.01     91.647     1.338
4561.40     91.647     1.319
4627.75     91.647     1.300
4695.06     91.647     1.281
4763.35     91.647     1.263
4832.64     91.647     1.245
4902.93     91.647     1.227
4974.24     91.648     1.209
5046.60     91.648     1.192
5120.00     91.648     1.175
5194.47     91.648     1.158
5270.03     91.648     1.141
5346.68     91.648     1.125
5424.45     91.648     1.109
5503.35     91.648     1.093
5583.40     91.648     1.077
5664.61     91.648     1.062
5747.01     91.648     1.047
5830.60     91.648     1.032
5915.41     91.648     1.017
6001.45     91.648     1.002
6088.74     91.648     0.988
6177.30     91.648     0.974
6267.15     91.648     0.960
6358.31     91.648     0.946
6450.80     91.648     0.932
6544.62     91.648     0.919
6639.82     91.648     0.906
6736.40     91.648     0.893
6834.38     91.648     0.880
6933.79     91.648     0.867
7034.64     91.648     0.855
7136.96     91.648     0.843
7240.77     91.648     0.831
7346.09     91.648     0.819
7452.94     91.648     0.807
7561.35     91.648     0.795
7671.33     91.648     0.784
7782.91     91.648     0.773
7896.12     91.648     0.762
8010.97     91.648     0.751
8127.49     91.648     0.740
8245.71     91.648     0.729
8365.65     91.648     0.719
8487.33     91.648     0.709
8610.78     91.648     0.699
8736.03     91.648     0.689
8863.09     91.648     0.679
8992.01     91.648     0.669
9122.80     91.648     0.659
9255.50     91.648     0.650
9390.12     91.648     0.641
9526.70     91.648     0.631
9665.27     91.648     0.622
9805.86     91.649     0.613
9948.49     91.649     0.605
10093.2     91.649     0.596
10240.0     91.649     0.587
10388.9     91.649     0.579
10540.1     91.649     0.571
10693.4     91.649     0.562
10848.9     91.649     0.554
11006.7     91.649     0.546
11166.8     91.649     0.539
11329.2     91.649     0.531
11494.0     91.649     0.523
11661.2     91.649     0.516
11830.8     91.649     0.508
12002.9     91.649     0.501
12177.5     91.649     0.494
12354.6     91.649     0.487
12534.3     91.649     0.480
12716.6     91.649     0.473
12901.6     91.649     0.466
13089.2     91.649     0.460
13279.6     91.649     0.453
13472.8     91.649     0.446
13668.8     91.649     0.440
13867.6     91.649     0.434
14069.3     91.649     0.428
14273.9     91.649     0.421
14481.5     91.649     0.415
14692.2     91.649     0.409
14905.9     91.649     0.404
15122.7     91.649     0.398
15342.7     91.649     0.392
15565.8     91.649     0.386
15792.2     91.649     0.381
16021.9     91.649     0.375
16255.0     91.649     0.370
16491.4     91.649     0.365
16731.3     91.649     0.360
16974.7     91.649     0.354
17221.6     91.649     0.349
17472.1     91.649     0.344
17726.2     91.649     0.339
17984.0     91.649     0.334
18245.6     91.649     0.330
18511.0     91.649     0.325
18780.2     91.649     0.320
19053.4     91.649     0.316
19330.5     91.649     0.311
19611.7     91.649     0.307
19897.0     91.649     0.302
20186.4     91.649     0.298
20480.0     91.649     0.294
20777.9     91.649     0.289
21080.1     91.649     0.285
21386.7     91.649     0.281
21697.8     91.649     0.277
22013.4     91.649     0.273
22333.6     91.649     0.269
22658.4     91.649     0.265
22988.0     91.649     0.262
23322.4     91.649     0.258
23661.6     91.649     0.254
24005.8     91.649     0.251
24355.0     91.649     0.247
24709.2     91.649     0.243
25068.6     91.649     0.240
25433.2     91.649     0.237
25803.2     91.649     0.233
26178.5     91.649     0.230
26559.3     91.649     0.226
26945.6     91.649     0.223
27337.5     91.649     0.220
27735.2     91.649     0.217
28138.6     91.649     0.214
28547.9     91.649     0.211
28963.1     91.649     0.208
29384.4     91.649     0.205
