Freq[Hz]  Imp[Ohm]  Phase[Deg]
153.217      3.880   -22.732
155.445      3.880   -22.176
157.706      3.880   -21.643
160.000      3.880   -21.130
162.327      3.880   -20.635
164.688      3.880   -20.157
167.084      3.880   -19.693
169.514      3.880   -19.242
171.980      3.880   -18.804
174.481      3.880   -18.377
177.019      3.880   -17.961
179.594      3.880   -17.555
182.206      3.880   -17.159
184.856      3.880   -16.771
187.545      3.880   -16.392
190.273      3.880   -16.021
193.041      3.880   -15.657
195.849      3.880   -15.300
198.697      3.880   -14.949
201.587      3.880   -14.606
204.520      3.880   -14.268
207.494      3.880   -13.936
210.512      3.880   -13.609
213.574      3.880   -13.288
216.681      3.880   -12.972
219.833      3.880   -12.661
223.030      3.880   -12.354
226.274      3.880   -12.051
229.565      3.880   -11.753
232.905      3.880   -11.459
236.292      3.880   -11.169
239.729      3.880   -10.882
243.216      3.880   -10.599
246.754      3.880   -10.319
250.343      3.880   -10.043
253.984      3.880    -9.769
257.678      3.880    -9.499
261.426      3.880    -9.231
265.229      3.880    -8.966
269.087      3.880    -8.703
273.001      3.880    -8.443
276.972      3.880    -8.185
281.000      3.880    -7.929
285.088      3.880    -7.675
289.234      3.880    -7.422
293.441      3.880    -7.172
297.709      3.880    -6.923
302.040      3.880    -6.676
306.433      3.880    -6.430
310.890      3.880    -6.185
315.412      3.880    -5.941
320.000      3.880    -5.698
324.655      3.880    -5.456
329.377      3.880    -5.215
334.168      3.880    -4.974
339.028      3.880    -4.734
343.959      3.880    -4.493
348.962      3.880    -4.253
354.038      3.880    -4.012
359.188      3.880    -3.771
364.412      3.880    -3.530
369.713      3.880    -3.287
375.090      3.880    -3.044
380.546      3.880    -2.799
386.081      3.880    -2.552
391.697      3.880    -2.303
397.394      3.880    -2.052
403.175      3.880    -1.797
409.039      3.880    -1.539
414.989      3.880    -1.277
421.025      3.880    -1.009
427.149      3.880    -0.736
433.362      3.880    -0.454
439.665      3.880    -0.163
446.060      3.880     0.142
452.548      3.880     0.464
459.131      3.880     0.812
465.809      3.881     1.190
472.584      3.884     1.598
479.458      3.891     2.020
486.432      3.905     2.435
493.507      3.923     2.822
500.686      3.945     3.161
507.968      3.968     3.449
515.357      3.990     3.688
522.853      4.013     3.883
530.458      4.036     4.036
538.174      4.059     4.147
546.002      4.081     4.210
553.943      4.102     4.227
562.001      4.119     4.208
570.175      4.131     4.172
578.469      4.137     4.139
586.883      4.139     4.128
595.419      4.139     4.147
604.080      4.139     4.198
612.866      4.139     4.273
621.780      4.139     4.368
630.824      4.139     4.479
640.000      4.139     4.602
649.309      4.139     4.738
658.753      4.139     4.885
668.335      4.139     5.044
678.056      4.139     5.213
687.919      4.139     5.394
697.925      4.139     5.586
708.077      4.139     5.791
718.376      4.139     6.011
728.825      4.139     6.246
739.426      4.139     6.499
750.181      4.139     6.774
761.093      4.139     7.076
772.163      4.139     7.411
783.394      4.139     7.794
794.789      4.139     8.254
806.349      4.140     8.809
818.078      4.145     9.452
829.977      4.177    10.100
842.050      4.239    10.607
854.298      4.302    10.958
866.724      4.366    11.164
879.330      4.413    11.216
892.120      4.456    11.176
905.097      4.511    11.057
918.262      4.571    10.826
931.618      4.618    10.490
945.169      4.645    10.085
958.917      4.655     9.685
972.864      4.656     9.346
987.015      4.656     9.084
1001.37      4.656     8.885
1015.94      4.656     8.732
1030.71      4.656     8.611
1045.71      4.656     8.514
1060.92      4.656     8.438
1076.35      4.656     8.377
1092.00      4.656     8.331
1107.89      4.656     8.297
1124.00      4.656     8.274
1140.35      4.656     8.261
1156.94      4.656     8.257
1173.77      4.656     8.261
1190.84      4.656     8.272
1208.16      4.656     8.290
1225.73      4.656     8.315
1243.56      4.656     8.346
1261.65      4.656     8.384
1280.00      4.656     8.427
1298.62      4.656     8.476
1317.51      4.656     8.530
1336.67      4.656     8.590
1356.11      4.656     8.655
1375.84      4.656     8.726
1395.85      4.656     8.802
1416.15      4.656     8.884
1436.75      4.656     8.971
1457.65      4.656     9.064
1478.85      4.656     9.164
1500.36      4.656     9.270
1522.19      4.656     9.382
1544.33      4.656     9.503
1566.79      4.656     9.632
1589.58      4.656     9.771
1612.70      4.656     9.922
1636.16      4.656    10.088
1659.95      4.657    10.272
1684.10      4.658    10.475
1708.60      4.662    10.691
1733.45      4.668    10.910
1758.66      4.678    11.125
1784.24      4.689    11.326
1810.19      4.702    11.510
1836.52      4.714    11.678
